word,frequency
sad,1246
i,600
the,535
to,460
and,421
a,392
is,355
so,349
this,281
you,268
im,263
that,262
of,220
it,211
its,209
but,192
in,191
me,181
for,171
my,162
be,146
just,131
are,127
not,116
like,112
on,110
have,106
was,99
they,96
people,92
really,87
he,87
how,84
when,83
about,78
all,77
now,77
no,75
with,75
at,74
very,73
your,68
see,68
if,64
feel,61
we,60
know,59
who,59
get,58
one,56
why,55
makes,54
as,53
do,52
because,52
what,51
his,50
out,49
dont,48
am,47
being,46
will,46
has,45
way,45
some,44
an,44
love,43
their,42
day,42
can,40
time,39
thats,38
her,38
there,37
yes,37
or,37
up,37
him,37
think,36
more,36
only,36
too,35
man,35
from,35
want,35
even,35
happy,35
got,34
u,33
she,33
good,32
actually,32
make,32
shit,32
go,31
don't,31
them,31
been,31
cant,30
made,30
also,30
had,29
much,28
would,27
by,26
life,25
never,25
thing,25
TRUE,25
need,24
@realdonaldtrump,24
still,24
same,24
someone,23
little,23
many,23
feeling,22
lol,22
here,22
always,22
take,22
these,22
new,22
our,22
can't,22
such,21
were,21
should,21
last,21
youre,21
yall,20
today,20
kinda,20
trump,20
those,20
making,20
nothing,20
going,20
t,20
gonna,20
us,20
that's,19
well,19
watch,19
yeah,19
first,19
after,18
said,18
person,18
stop,18
hear,18
2,18
@jeffreestar,18
does,18
world,18
could,18
hope,18
did,18
down,17
@bts_twt,17
bad,17
say,17
already,17
oh,17
than,17
great,16
most,16
look,16
@sad_istfied,16
then,16
-,16
used,16
right,16
come,16
must,15
lot,15
family,15
funny,15
something,15
god,15
things,15
hes,15
whole,14
cry,14
sorry,14
years,14
where,14
which,14
understand,14
ever,14
lost,14
getting,14
honestly,14
other,13
song,13
let,13
s,13
fucking,13
doesn't,13
any,13
hate,13
without,13
r,13
call,13
pretty,13
days,13
friends,13
ok,13
fact,13
@dream__fanart,13
friend,13
over,13
b,12
off,12
bc,12
didn't,12
game,12
kind,12
into,12
cause,12
literally,12
back,12
wanna,12
didnt,12
remember,12
looks,12
everyone,12
kids,12
another,12
times,12
done,12
crying,12
find,12
baby,12
having,12
theyre,11
you're,11
reality,11
happened,11
trying,11
while,11
3,11
girl,11
poor,11
doing,11
beautiful,11
news,11
fun,11
seeing,11
miss,11
ass,11
best,11
since,11
live,11
week,11
cute,11
use,11
