word,frequency
i,816.0
to,377.0
so,329.0
the,313.0
you,305.0
and,297.0
a,250.0
im,245.0
my,227.0
it,221.0
this,170.0
me,168.0
of,167.0
but,167.0
is,166.0
that,154.0
for,146.0
in,123.0
u,116.0
be,108.0
not,107.0
on,106.0
just,102.0
love,102.0
like,101.0
have,97.0
its,96.0
are,88.0
miss,85.0
no,83.0
sorry,83.0
was,83.0
&gt,82.0
much,80.0
with,72.0
all,70.0
do,64.0
they,63.0
can,61.0
if,61.0
dont,60.0
we,60.0
really,58.0
sad,57.0
want,56.0
one,56.0
hope,55.0
what,55.0
out,53.0
at,53.0
why,52.0
up,50.0
get,49.0
too,48.0
as,48.0
know,47.0
about,46.0
feel,46.0
here,45.0
still,45.0
how,44.0
he,44.0
back,42.0
@lilpapivoni,40.0
thank,40.0
when,39.0
them,39.0
good,38.0
him,38.0
don't,37.0
now,37.0
cant,37.0
go,36.0
always,35.0
more,35.0
need,34.0
same,33.0
make,33.0
will,33.0
oh,33.0
her,33.0
or,32.0
well,32.0
people,32.0
your,31.0
gonna,31.0
got,31.0
think,30.0
going,30.0
had,30.0
from,30.0
see,30.0
wanna,30.0
am,29.0
been,29.0
yeah,29.0
day,29.0
being,29.0
ive,29.0
please,28.0
even,28.0
&lt,28.0
pls,27.0
bad,27.0
his,27.0
@bts_twt,27.0
baby,27.0
there,27.0
she,27.0
time,27.0
did,26.0
ur,26.0
better,26.0
never,26.0
bc,25.0
take,25.0
thats,25.0
3,24.0
an,24.0
today,23.0
only,23.0
some,23.0
ok,23.0
come,23.0
again,23.0
because,23.0
can't,22.0
doing,22.0
over,22.0
stream,22.0
has,22.0
would,22.0
someone,22.0
man,21.0
youre,21.0
who,21.0
also,21.0
okay,21.0
talk,21.0
walls,21.0
ill,20.0
idk,20.0
already,20.0
then,20.0
wanted,19.0
2,19.0
year,19.0
hate,19.0
deserve,18.0
everyone,18.0
didnt,18.0
care,18.0
were,18.0
guys,17.0
little,17.0
could,17.0
shit,17.0
soon,17.0
friends,17.0
stop,17.0
last,17.0
wish,17.0
their,17.0
:-(,17.0
other,17.0
makes,17.0
omg,16.0
find,16.0
sure,16.0
you're,16.0
any,16.0
that's,16.0
best,16.0
anything,16.0
pretty,16.0
very,16.0
something,16.0
cute,15.0
i'll,15.0
new,15.0
should,15.0
happy,15.0
cause,15.0
hes,15.0
though,14.0
most,14.0
help,14.0
us,14.0
sucks,14.0
fun,14.0
happened,14.0
missed,14.0
upset,14.0
where,14.0
getting,14.0
made,14.0
since,14.0
thought,14.0
world,14.0
watch,13.0
maybe,13.0
ily,13.0
:),13.0
by,13.0
try,13.0
twitter,13.0
hard,13.0
show,13.0
said,13.0
hey,13.0
does,13.0
hurt,13.0
sweet,13.0
harry,12.0
wait,12.0
right,12.0
account,12.0
lot,12.0
work,12.0
before,12.0
mine,12.0
crying,12.0
many,12.0
post,12.0
eat,12.0
didn't,12.0
nothing,12.0
keep,12.0
way,12.0
down,12.0
home,12.0
big,12.0
yet,12.0
w,11.0
rn,11.0
after,11.0
yes,11.0
beautiful,11.0
look,11.0
mean,11.0
making,11.0
expensive,11.0
once,11.0
believe,11.0
done,11.0
ever,11.0
late,11.0
sleep,11.0
school,11.0
